6.500055, 0.559106, 1.152054, 8.745108, 1.740533
6.500255, 0.573327, 1.143821, 9.465189, 1.785284
6.500455, 0.582757, 1.147938, 10.058197, 1.821898
6.500655, 0.585077, 1.139704, 10.498717, 1.846308
6.500855, 0.570855, 1.115003, 10.795221, 1.866649
6.501055, 0.540215, 1.110886, 10.943473, 1.850376
6.501255, 0.510307, 1.094418, 10.926530, 1.838171
6.501455, 0.496056, 1.102652, 10.774042, 1.797488
6.501655, 0.481193, 1.098535, 10.473302, 1.764942
6.501855, 0.437308, 1.119119, 10.003132, 1.703919
6.502055, 0.363363, 1.098535, 9.388945, 1.642895
6.502255, 0.276570, 1.065600, 8.643449, 1.569666
6.502455, 0.190967, 1.049133, 7.787823, 1.476096
6.502655, 0.113207, 1.061483, 6.826303, 1.382527
6.502868, 0.040177, 1.057366, 5.767360, 1.280820
6.503068, -0.040574, 1.057366, 4.619466, 1.207592
6.503268, -0.131365, 1.020315, 3.412272, 1.089612
6.503468, -0.218799, 1.016198, 2.179662, 0.963497
6.503668, -0.292500, 1.007964, 0.913167, 0.861790
6.503868, -0.348928, 1.003847, -0.323678, 0.764152
6.504068, -0.392142, 1.016198, -1.568995, 0.662446
6.504268, -0.436545, 0.991496, -2.784661, 0.556671
6.504468, -0.488426, 0.970912, -3.907141, 0.467170
6.504668, -0.537133, 0.962678, -4.991498, 0.402078
6.504868, -0.562615, 0.954445, -5.944547, 0.324781
6.505068, -0.557244, 0.942094, -6.817115, 0.280030
6.505268, -0.543450, 0.942094, -7.537197, 0.239347
6.505468, -0.546471, 0.942094, -8.125969, 0.202733
6.505668, -0.561089, 0.946211, -8.566489, 0.170187
6.505869, -0.565515, 0.929743, -8.858757, 0.170187
6.506069, -0.541558, 0.921510, -9.011245, 0.182392
6.506269, -0.492454, 0.913276, -9.002773, 0.202733
6.506469, -0.441154, 0.929743, -8.820635, 0.219006
6.506669, -0.395346, 0.933860, -8.490245, 0.267825
6.506869, -0.349660, 0.929743, -8.011603, 0.312576
6.507069, -0.302632, 0.929743, -7.405888, 0.381736
6.507269, -0.254871, 0.946211, -6.651920, 0.454965
6.507469, -0.197467, 0.950328, -5.766644, 0.544466
6.507669, -0.123033, 0.950328, -4.792417, 0.629900
6.507869, -0.047623, 0.979146, -3.695352, 0.735674
6.508069, 0.012161, 0.995613, -2.560166, 0.861790
6.508269, 0.071794, 1.003847, -1.344499, 0.959428
6.508469, 0.149645, 1.024431, -0.099183, 1.069271
6.508669, 0.236439, 1.024431, 1.141898, 1.175046
6.508869, 0.311696, 1.040899, 2.387215, 1.272684
6.509069, 0.364584, 1.069717, 3.607117, 1.366254
6.509269, 0.402731, 1.086185, 4.801605, 1.459823
6.509469, 0.449058, 1.102652, 5.919848, 1.537120
6.509669, 0.508537, 1.102652, 6.970319, 1.622554
6.509869, 0.554314, 1.123236, 7.923368, 1.691714
6.510069, 0.558740, 1.135587, 8.766286, 1.744601
6.510269, 0.533867, 1.135587, 9.465189, 1.785284
6.510469, 0.521202, 1.135587, 10.045489, 1.838171
6.510669, 0.533715, 1.147938, 10.511424, 1.850376
6.510869, 0.552178, 1.131470, 10.803692, 1.854444
6.511069, 0.560967, 1.127353, 10.926530, 1.862581
6.511269, 0.551843, 1.098535, 10.926530, 1.838171
6.511469, 0.516167, 1.119119, 10.786749, 1.805625
6.511670, 0.454887, 1.028548, 10.452123, 1.764942
6.511870, 0.391135, 1.040899, 9.998896, 1.695782
6.512070, 0.346029, 1.086185, 9.405888, 1.614417
6.512270, 0.304829, 1.073834, 8.656156, 1.549325
6.512470, 0.236530, 1.061483, 7.804766, 1.463892
6.512670, 0.140581, 1.045016, 6.843246, 1.362185
6.512870, 0.047593, 1.045016, 5.750417, 1.272684
6.513070, -0.022721, 1.040899, 4.623702, 1.170977
6.513270, -0.080583, 1.040899, 3.433451, 1.069271
6.513470, -0.144976, 1.028548, 2.175427, 0.971633
6.513670, -0.226093, 1.016198, 0.891988, 0.865858
6.513870, -0.314260, 1.003847, -0.327914, 0.756016
6.514070, -0.388296, 0.991496, -1.573231, 0.650241
6.514270, -0.439658, 0.987380, -2.780426, 0.548535
6.514470, -0.471183, 0.966795, -3.915612, 0.479374
6.514670, -0.490654, 0.966795, -4.983027, 0.393941
6.514870, -0.515221, 0.962678, -5.953018, 0.336985
6.515070, -0.549523, 0.950328, -6.817115, 0.275962
6.515270, -0.577264, 0.958562, -7.520253, 0.223074
6.515470, -0.577874, 0.962678, -8.104790, 0.198665
6.515670, -0.547692, 0.946211, -8.558017, 0.166119
6.515870, -0.507713, 0.946211, -8.850286, 0.157982
6.516070, -0.479576, 0.954445, -8.998538, 0.162051
6.516270, -0.464378, 0.950328, -8.977359, 0.182392
6.516470, -0.445457, 0.942094, -8.816399, 0.214938
6.516670, -0.409384, 0.937977, -8.473302, 0.251552
6.516870, -0.356374, 0.937977, -7.998896, 0.296303
